,Country,Population Aged 0 to 14 (%),Population Aged 60 and Over (%),Population density,Population(in millions),Female Population(in millions),Male Population(in millions),Sex ratio (males per 100 females),Working-Age (15-59) %,Youth Dependency Ratio,Old-Age Dependency Ratio,Total Dependency Ratio,Country_Standard,iso_alpha3,Continent
0,Afghanistan,42.9,3.9,65.7,42.65,21.12,21.53,102.0,53.2,80.6390977443609,7.330827067669173,87.96992481203007,Afghanistan,AFG,Asia
1,Albania,16.8,23.5,101.9,2.79,1.41,1.38,97.8,59.7,28.14070351758794,39.36348408710217,67.50418760469012,Albania,ALB,Europe
2,Algeria,30.3,10.0,19.7,46.81,22.94,23.87,104.1,59.7,50.753768844221106,16.75041876046901,67.50418760469012,Algeria,DZA,Africa
3,Andorra,11.9,23.2,174.3,0.08,0.04,0.04,104.6,64.89999999999999,18.335901386748848,35.747303543913716,54.08320493066256,Andorra,AND,Europe
4,Angola,44.4,4.6,30.4,37.89,19.14,18.75,98.0,51.0,87.05882352941177,9.019607843137255,96.07843137254902,Angola,AGO,Africa
5,Antigua and Barbuda,17.8,17.7,213.1,0.09,0.05,0.04,90.8,64.5,27.596899224806204,27.44186046511628,55.038759689922486,Antigua and Barbuda,ATG,North America
6,Argentina,21.6,16.8,16.4,45.7,23.02,22.68,98.5,61.60000000000001,35.06493506493506,27.27272727272727,62.33766233766232,Argentina,ARG,South America
7,Armenia,19.2,20.4,104.5,2.97,1.59,1.38,86.7,60.4,31.788079470198678,33.77483443708609,65.56291390728477,Armenia,ARM,Asia
8,Australia,17.8,23.5,3.5,26.71,13.46,13.25,98.5,58.7,30.3236797274276,40.03407155025553,70.35775127768314,Australia,AUS,Oceania
9,Austria,14.2,27.9,110.5,9.12,4.63,4.49,97.0,57.9,24.52504317789292,48.18652849740933,72.71157167530225,Austria,AUT,Europe
10,Azerbaijan,21.8,14.2,125.1,10.34,5.27,5.07,96.1,64.0,34.0625,22.1875,56.25,Azerbaijan,AZE,Asia
11,Bahamas,17.9,17.0,74.9,0.4,0.21,0.19,91.4,65.1,27.49615975422427,26.113671274961597,53.60983102918587,Bahamas,BHS,North America
12,Bahrain,18.7,6.7,2052.4,1.61,0.61,1.0,163.4,74.6,25.067024128686327,8.981233243967829,34.048257372654156,Bahrain,BHR,Asia
13,Bangladesh,28.0,9.5,1333.4,173.56,88.22,85.34,96.7,62.5,44.800000000000004,15.2,60.0,Bangladesh,BGD,Asia
14,Barbados,17.2,23.3,656.9,0.28,0.15,0.14,92.1,59.5,28.90756302521008,39.15966386554622,68.0672268907563,Barbados,BRB,North America
15,Belarus,16.3,25.0,44.6,9.06,4.84,4.22,87.3,58.7,27.76831345826235,42.58943781942078,70.35775127768314,Belarus,BLR,Europe
16,Belgium,16.0,27.2,387.7,11.74,5.95,5.79,97.3,56.8,28.169014084507044,47.887323943661976,76.05633802816902,Belgium,BEL,Europe
17,Belize,26.6,8.0,18.3,0.42,0.21,0.21,101.8,65.4,40.67278287461774,12.232415902140671,52.90519877675841,Belize,BLZ,North America
18,Benin,41.6,5.0,128.3,14.46,7.21,7.25,100.6,53.4,77.90262172284645,9.363295880149813,87.26591760299627,Benin,BEN,Africa
19,Bhutan,20.9,9.6,20.6,0.79,0.37,0.42,114.8,69.5,30.071942446043167,13.81294964028777,43.884892086330936,Bhutan,BTN,Asia
20,Bolivia,29.8,8.5,11.5,12.41,6.19,6.22,100.4,61.7,48.29821717990275,13.776337115072934,62.074554294975684,Bolivia,BOL,South America
21,Bosnia and Herzegovina,13.0,30.2,61.8,3.16,1.66,1.51,90.8,56.8,22.887323943661972,53.16901408450705,76.05633802816902,Bosnia and Herzegovina,BIH,Europe
22,Botswana,32.1,6.1,4.4,2.52,1.26,1.26,99.4,61.800000000000004,51.94174757281553,9.870550161812297,61.812297734627826,Botswana,BWA,Africa
23,Brazil,19.7,16.1,25.4,212.0,107.7,104.3,96.8,64.19999999999999,30.685358255451717,25.077881619937703,55.76323987538942,Brazil,BRA,South America
24,Brunei,20.8,10.9,80.3,0.46,0.22,0.25,113.2,68.3,30.45387994143485,15.95900439238653,46.41288433382138,Brunei Darussalam,BRN,Asia
25,Bulgaria,14.5,28.6,62.3,6.76,3.49,3.27,93.8,56.9,25.48330404217926,50.26362038664324,75.7469244288225,Bulgaria,BGR,Europe
26,Burkina Faso,41.8,4.3,86.1,23.55,11.82,11.73,99.3,53.900000000000006,77.55102040816325,7.97773654916512,85.52875695732837,Burkina Faso,BFA,Africa
27,Burundi,44.7,3.9,541.3,14.05,7.07,6.98,98.7,51.4,86.96498054474709,7.587548638132295,94.55252918287938,Burundi,BDI,Africa
28,Cape Verde,25.5,10.6,130.2,0.52,0.26,0.27,103.5,63.9,39.906103286384976,16.588419405320813,56.49452269170579,Cabo Verde,CPV,Africa
29,Cambodia,29.8,9.6,97.4,17.64,9.0,8.64,96.1,60.6,49.17491749174918,15.841584158415841,65.01650165016503,Cambodia,KHM,Asia
30,Cameroon,41.4,4.4,62.5,29.12,14.61,14.51,99.3,54.2,76.38376383763837,8.118081180811808,84.50184501845018,Cameroon,CMR,Africa
31,Canada,15.1,26.6,4.4,39.74,20.01,19.74,98.6,58.300000000000004,25.900514579759857,45.62607204116638,71.52658662092624,Canada,CAN,North America
32,Central African Republic,49.0,3.6,8.6,5.33,2.77,2.56,92.3,47.4,103.37552742616035,7.59493670886076,110.9704641350211,Central African Republic,CAF,Africa
33,Chad,46.1,3.5,16.1,20.3,10.12,10.18,100.6,50.4,91.46825396825398,6.944444444444445,98.41269841269842,Chad,TCD,Africa
34,Chile,17.0,19.6,26.2,19.76,9.94,9.82,98.8,63.4,26.813880126182966,30.914826498422716,57.72870662460568,Chile,CHL,South America
